Institution,State,Tier,Mission,Mission MMJ,Size,Growth,Year,Property Plant Equip,Construction in Progress,K.Land,K.Buildings,K.Library,K.Other Prop Plant Equip,Plant and Equipment,Leasehold Improvements,Leased Plant Equip,Infrastructure,Other Property Plant and Equipment,Investment Property,Intang Assets,Other Non-Current Non-Financial Assets,Total Expenses,Total Benefits,Academic Benefits,Non Academic Benefits,Depreciation and Amortisation,Rep and Maint,Other Exp,Schol Grants Prizes,Non-Capitalised Equipment,"Advertising, Marketing and Promotional Expenses","Net Loss on Disposal of Property, Plant and Equipment",Other Expenditure,Equivalent FT Load,Equivalent FTL Course,Completion Count,Adjusted FT Load,SciVal All Pubs,Pubs herdc,Research Rev,RHD Completions,RTS Weighted Comp
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2006,105509,0,21915,13039,0,70555,6676,63514,0,0,365,0,50185,15142,127361,85808,49842,35966,6378,2836,31697,1570,970,793,0,28364,10060,9608,3825,13433,81,276,3642618,47,88
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2007,109101,0,22662,13228,0,73211,6920,65887,0,0,404,0,49365,13958,145639,97832,56785,41047,7022,3742,36917,1341,1024,754,0,33798,10874,10341,3798,14139,92,227,2597627,35,74
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2008,116816,0,22662,13288,0,80866,7561,72814,0,0,491,0,48545,14312,167612,111940,63908,48032,7526,4781,43144,2024,711,1354,0,39055,11540,11123,3896,15019,111,325,2671427,32,69
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2009,122348,2326,18352,15435,0,86235,10273,75453,0,0,509,0,47725,16566,188964,128228,72803,55425,9185,4894,46471,2213,1071,1712,0,41475,12982,12623,4152,16775,169,388,3058290,41,93
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2010,141274,4597,24259,17257,0,95161,9682,84872,0,0,607,0,46910,24067,207843,139561,78802,60759,10090,4700,53386,2060,1272,2029,0,48025,14716,14311,4268,18579,181,454,6632658,37,76
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2011,222861,25828,30159,70197,0,96677,10007,85903,0,0,767,0,46094,26262,244314,164749,93075,71674,11238,5661,62314,2527,1713,2289,0,55785,16716,16305,5018,21323,294,468,7554757,42,84
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2012,297364,1274,34209,137327,0,124554,15077,108390,0,0,1087,0,45278,4158,280627,191228,106925,84303,13740,5332,70256,2704,1501,2315,0,63736,17914,17318,4681,21999,407,499,8410053,20,42
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2013,342456,12361,49430,131793,0,148872,15656,131909,0,0,1307,0,44462,4101,323254,217699,120467,97232,17946,4828,82262,3476,2038,2798,10,73940,19147,18573,5552,24125,522,569,9498022,40,85
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2014,416339,0,49955,154694,0,211690,18806,191212,0,0,1672,0,43661,4043,376197,254170,142404,111766,22229,5353,93761,4776,5280,3302,1,80402,21505,20801,5684,26485,683,494,15401125,37,84
Australian Catholic University,Other,3,OTR,NGU,Medium,Fast,2015,534904,178,54955,247998,0,231773,17782,211808,0,0,2183,0,42885,3989,435185,290360,156759,133601,26005,8497,109263,6269,4913,6104,19,91958,23546,22816,6094,28910,903,0,13897995,48,113
Australian National University,ACT,1,Go8,Go8,Medium,Medium,2006,1206944,18694,50151,991190,8177,138732,109529,0,0,0,29203,15600,0,0,643101,375146,188531,186615,42376,37607,179798,64533,12073,1977,0,101215,10869,8994,3614,12608,3126,2766,122693919,320,1020
